comment,recall@10,ndcg@10,coverage@10,arp@10
__dropout_rate=1_n_heads=1,0.2970554285092018,0.1797537299508812,0.232166018158236,0.008950994373631
__dropout_rate=1_n_heads=2,0.2983099205052815,0.1805055406822002,0.2182230869001297,0.0090298538061549
__dropout_rate=1_n_heads=4,0.2978503756942176,0.1801789169679332,0.2285992217898832,0.0088037226628063
__dropout_rate=2_n_heads=1,0.293172165958837,0.1767167978341103,0.180544747081712,0.0091659752370434
__dropout_rate=2_n_heads=2,0.2937754546444517,0.1773936685741043,0.1828145265888456,0.0090265342789279
__dropout_rate=2_n_heads=4,0.2934966786453228,0.1767219742169698,0.1723735408560311,0.0091942421487335
__dropout_rate=3_n_heads=1,0.2866361755417619,0.1727234564948586,0.1466277561608301,0.0091722278567165
__dropout_rate=3_n_heads=2,0.2865294566045954,0.1721465469008346,0.1312581063553826,0.0094021574125119
__dropout_rate=3_n_heads=4,0.2864249156049221,0.1718284051183337,0.1510376134889753,0.0089560020872214
