Model,Recall@10(PS),NDCG@10(PS),Recall@10,NDCG@10,Training Time(s)
BERT4Rec original,0.4027,0.2193,0.0939,0.0474,6029
BERT4Rec RecBole,0.4611,0.2589,0.0906,0.0753,519666
BERT4Rec-VAE,0.7409,0.5259,0.2886,0.1732,23030
ber4rec_repro,0.7127,0.4805,0.2393,0.1310,44610
ber4rec_repro(long),0.7268,0.4980,0.2514,0.1456,39632
BERT4Rec RecTools,0.7071,0.4860,0.2400,0.1396,29403
