comment,recall@10,ndcg@10,coverage@10,arp@10,fit_time
__loss=softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.015944788196097,0.0307352137310217,0.0647598488936859,0.0005491366514353,847
__loss=softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.011883541295306,0.007441173452875,0.0617916891527253,0.0005241178972196,863
__loss=softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0190980485483103,0.012357138245558,0.0569347004856988,0.0006092453070817,994
__loss=sampled_softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0914291180536945,0.0629240565719486,0.0528872099298435,0.0012408574713546,1404
__loss=sampled_softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0461973889984361,0.0388841270195403,0.059363194819212,0.0011059471351753,1324
__loss=sampled_softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0274240157748011,0.0305554058138481,0.0558553696708041,0.00103601282221,1811
__loss=BCE_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0629727807353307,0.0406888324526994,0.041014570966001,0.0012590813077083,3109
__loss=BCE_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0238525872033725,0.0237270264168553,0.0507285483000539,0.0011133178935342,3023
