comment,recall@10,ndcg@10,coverage@10,arp@10
__n_negatives=64_n_blocks=1,0.3112582781456953,0.1711558698340645,0.5847732181425486,0.0008703738135003
__n_negatives=64_n_blocks=2,0.319205298013245,0.173988385402113,0.6025917926565875,0.0008321175542413
__n_negatives=64_n_blocks=4,0.3208609271523179,0.175706164328381,0.6185205183585313,0.0008351780911732
__n_negatives=128_n_blocks=1,0.2903973509933775,0.1582497126687617,0.5502159827213823,0.0008803484475466
__n_negatives=128_n_blocks=2,0.3066225165562914,0.167734468813823,0.5988120950323974,0.0008314002477047
__n_negatives=128_n_blocks=4,0.3301324503311258,0.179940755293506,0.6271598272138229,0.0008447343480684
__n_negatives=256_n_blocks=1,0.2993377483443709,0.1648569391942436,0.5575053995680346,0.0008755071855345
__n_negatives=256_n_blocks=2,0.3211920529801324,0.1779606925376884,0.6185205183585313,0.0008106325722452
__n_negatives=256_n_blocks=4,0.3291390728476821,0.1835633925150079,0.6541576673866091,0.0008249072085722
