comment,recall@10,ndcg@10,coverage@10,arp@10
__n_factors=64_session_max_len=50,0.2860873352934771,0.1715237097625823,0.1496757457846952,0.0093508599179443
__n_factors=64_session_max_len=100,0.28505281498421,0.1708471142416692,0.1621271076523995,0.0089795180559109
__n_factors=64_session_max_len=200,0.2854361319830121,0.1707349158129704,0.1473411154345006,0.009601560071473
__n_factors=128_session_max_len=50,0.2931286072089731,0.1754638845265659,0.1908560311284046,0.009266812276733
__n_factors=128_session_max_len=100,0.2927409343351845,0.1750234046657148,0.185408560311284,0.009212746291111
__n_factors=128_session_max_len=200,0.2927322225852118,0.1757421387369362,0.1920881971465629,0.0090463670895947
__n_factors=256_session_max_len=50,0.2499335729064576,0.148142671326199,0.0258754863813229,0.0106922191125165
__n_factors=256_session_max_len=100,0.2470652292279211,0.1469854198170037,0.0212710765239948,0.0108823190037213
__n_factors=256_session_max_len=200,0.2449940106718937,0.1445980754556107,0.0188715953307393,0.0113810150741676
