Model,Recall@10(PS),NDCG@10(PS),Recall@10,NDCG@10,Training Time(s)
BERT4Rec original,0.1099,0.0567,0.0163,0.0079,3249
BERT4Rec RecBole,0.1996,0.1103,0.0158,0.0079,11024
BERT4Rec-VAE,0.2339,0.1407,0.0331,0.0188,21426
ber4rec_repro,0.1891,0.0919,0.0166,0.0080,14497
BERT4Rec RecTools,0.2506,0.1555,0.0434,0.0242,15786
