comment,recall@10,ndcg@10,coverage@10,arp@10,fit_time
sasrec_softmax_uni_loss=softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0602018691023926,0.0367398696404677,0.0626011872638963,0.000654218449881,1186
sasrec_softmax_uni_loss=softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0602018691023926,0.0367398696404677,0.0626011872638963,0.000654218449881,981
sasrec_softmax_uni_loss=softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0322442161062425,0.0196848810656657,0.059363194819212,0.0004903645518894,1090
sasrec_softmax_uni_loss=softmax_transformer_layers_type=AlbertLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0291990586493204,0.0165078639580922,0.0623313545601726,0.0005413537125103,1308
sasrec_softmax_uni_loss=sampled_softmax_transformer_layers_type=SASRecTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0327201799329917,0.0273550730930796,0.0615218564490016,0.0005906880893879,1857
sasrec_softmax_uni_loss=sampled_softmax_transformer_layers_type=PreLNTransformerLayers_n_factors=128_session_max_len=200_n_blocks=4_n_heads=2_dropout_rate=2_n_negatives=256,0.0017825311942959,0.002007703741042,0.0612520237452779,0.0005288034204198,1758
