comment,recall@10,ndcg@10,coverage@10,arp@10
__n_factors=64_session_max_len=50,0.2321987014206371,0.1255199500518361,0.224909084092528,0.0007827184785469
__n_factors=64_session_max_len=100,0.2329642710116352,0.125322615332795,0.2490158587335507,0.0008056019976118
__n_factors=64_session_max_len=200,0.229656432590153,0.122751864394579,0.2586885614666516,0.0008390419583835
__n_factors=128_session_max_len=50,0.2722827696285543,0.1516191056257465,0.2586135792749222,0.0007533356032582
__n_factors=128_session_max_len=100,0.2793751218772344,0.1554994134233556,0.2904435196640798,0.0007326106185941
__n_factors=128_session_max_len=200,0.2789851147271033,0.1546804105257731,0.3083642634874217,0.0007359035757003
__n_factors=256_session_max_len=50,0.2971204472081988,0.1667935429260143,0.2833577025456454,0.0006799742419373
__n_factors=256_session_max_len=100,0.3046966972172267,0.1719863802948645,0.3057773778727552,0.0007115456901654
__n_factors=256_session_max_len=200,0.315718010385746,0.1787853262346519,0.3382446668916132,0.0007176096014996
