comment,recall@10,ndcg@10,coverage@10,arp@10
_patience_20_epochs_200__n_heads=1_dropout_rate=1,0.3457846727189999,0.2001729177140313,0.3661380422149739,0.0007034551346821
_patience_20_epochs_200__n_heads=1_dropout_rate=2,0.3216981200210893,0.1842365560827032,0.3328459490870918,0.000703620927962
_patience_20_epochs_200__n_heads=1_dropout_rate=3,0.3070150730541171,0.1734539911040588,0.315187642934803,0.0006668806041894
_patience_20_epochs_200__n_heads=2_dropout_rate=1,0.3487891722459356,0.2018639857470512,0.3545532935927717,0.0007234959686261
_patience_20_epochs_200__n_heads=2_dropout_rate=2,0.3326399872886558,0.1900123629882273,0.3246728901885802,0.0007124362924518
_patience_20_epochs_200__n_heads=2_dropout_rate=3,0.3174513754974397,0.1809204564975104,0.3123383196490833,0.0006911782604609
_patience_20_epochs_200__n_heads=4_dropout_rate=1,0.3505080926483652,0.20403832950043,0.3466801634611779,0.0007315351376479
